id	n = 1	n = 2
266	2.8785	4.2465
267	0.9695	3.9605
268	1.6025	0.4085
269	2.8575	1.9075
270	3.4535	4.2915
271	3.6645	4.6205
272	3.4655	3.3535
273	2.8845	3.7385
274	0.8145	3.3725
275	2.7295	0.5975
276	2.3195	4.0325
277	1.2515	0.8345
278	2.3255	4.3335
279	3.3065	3.7085
280	1.7555	4.1475
281	3.5605	1.9665
282	0.7675	1.6735
283	1.4195	3.1645
284	1.4805	3.6775
285	2.0795	4.0225
286	3.1375	1.9565
287	2.6625	1.2685
288	2.1555	1.0005
289	2.5975	1.7175
290	2.2605	1.6225
291	3.4455	0.7195
292	2.0465	3.1245
293	1.8425	0.9705
294	3.3785	3.8695
295	1.1145	4.5915
296	3.4035	4.7485
297	2.5005	3.9455
298	2.0555	3.0285
299	2.5705	1.2325
300	4.6355	4.0275
301	3.6135	0.9465
302	3.2075	3.8575
303	1.9185	1.1695
304	2.2125	0.7645
305	2.0905	2.1505
306	2.7225	3.7825
307	3.1475	2.9445
308	2.7625	1.5555
309	4.0705	1.1665
310	3.5045	0.6745
311	2.3465	4.2725
312	4.4175	3.6575
313	2.7965	3.5595
314	3.9165	1.0075
315	3.6665	1.4935
316	2.4365	4.3295
317	1.2465	1.3085
318	1.2525	1.5265
319	2.7425	1.4655
320	2.1835	1.8825
321	1.6525	3.7285
322	2.1735	4.1005
323	2.3505	1.3705
324	2.8915	3.1885
325	2.5005	1.1235
326	1.3805	3.5975
327	3.5495	1.2455
328	2.2045	3.3025
329	4.0015	0.5015
330	2.7785	3.6115
331	3.3485	1.6295
332	3.5615	2.6365
333	2.0095	0.8215
334	1.6225	0.5945
335	2.7565	4.8065
336	3.5605	3.4585
337	1.1715	3.6495
338	2.9355	0.7115
339	2.8325	3.7015
340	1.9155	3.2405
341	0.8645	1.0545
342	1.8125	3.9395
343	2.9355	4.6105
344	2.8445	2.1145
345	2.7275	3.4585
346	4.4615	3.5595
347	3.9845	4.5305
348	1.9955	3.4505
349	2.3775	0.7595
350	3.0025	0.5145
351	4.0675	1.4115
352	2.9155	0.8705
353	2.4585	0.7045
354	2.5685	0.8545
355	4.3865	0.9255
356	3.7145	0.5455
357	3.0645	3.4835
358	3.9205	0.9875
359	2.8585	1.3315
360	3.8265	1.0775
361	1.8285	2.9095
362	3.1105	3.2725
363	2.4115	4.3385
364	2.9825	3.7685
365	2.9285	1.5255
366	2.1935	1.9345
367	2.5875	1.9725
